,Type,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6
BALANCE,count,1897,2085,1716,751,1362,1139
,mean,414.391795247233,2150.82495916691,1327.9037805035,2241.83706396937,2753.03236738987,895.123639597893
,std,972.764572880982,2127.20699647612,1928.21862384601,2200.41537379848,2587.5555781511,1430.43504387893
,min,0,0,0,1.599053,2.299436,0
,25%,18.105265,738.992204,194.4985305,811.253413,898.207245,48.723739
,50%,55.176498,1450.959629,599.477389,1543.194492,1870.0871685,283.691223
,75%,287.589522,2847.472954,1647.2121925,2931.67466,3830.83828625,1189.8610765
,max,11670.17985,14581.45914,19043.13856,15258.2259,16304.88925,12323.84536
BALANCE_FREQUENCY,count,1897,2085,1716,751,1362,1139
,mean,0.787005152872957,0.882758823021583,0.943938152680653,0.92584727563249,0.967634193098385,0.777036986830553
,std,0.299667669185611,0.232179200245008,0.141914814763558,0.168604449845184,0.100004932842825,0.300394808425475
,min,0,0,0,0.090909,0.090909,0
,25%,0.636364,0.9,1,1,1,0.545455
,50%,1,1,1,1,1,1
,75%,1,1,1,1,1,1
,max,1,1,1,1,1,1
PURCHASES,count,1897,2085,1716,751,1362,1139
,mean,546.046452293094,1.8188345323741,2540.0633974359,679.329906790945,1539.66996328928,854.332598770852
,std,920.259019739228,65.7827855972571,3509.52369583377,1541.3917046488,2293.93170988475,1370.06940936539
,min,0.01,0,89.9,15.92,44.7,4.99
,25%,156,0,811.47,117.865,394.86,152.305
,50%,319.41,0,1586.12,298.49,886.14,429.88
,75%,596.64,0,2886.7075,739.54,1877.7675,1000
,max,22500,3000,41050.4,22101.78,49039.57,17945
ONEOFF_PURCHASES,count,1897,2085,1716,751,1362,1139
,mean,18.4497206114918,0.051976019184652,1552.78344405594,679.204274300932,822.324882525698,853.855741878841
,std,251.206411122416,0.803850635351117,2794.76124401147,1541.38285827213,1741.5829429477,1370.30273323307
,min,0,0,5,15.92,0,4.99
,25%,0,0,298.755,117.445,0,151.82
,50%,0,0,816.475,298.49,250.74,429.88
,75%,0,0,1779.875,739.54,990.13,1000
,max,6845.82,15.4,40624.06,22101.78,40761.25,17945
INSTALLMENTS_PURCHASES,count,1897,2085,1716,751,1362,1139
,mean,528.554069583553,1.80856115107914,987.308508158508,0.551291611185087,717.58077092511,0.559323968393327
,std,875.498630863867,65.795942438017,1351.95273438047,4.08025803875803,988.577232127808,5.01985449724503
,min,0,0,9.9,0,22.5,0
,25%,151.92,0,243.42,0,192.96,0
,50%,315,0,568.705,0,426.5,0
,75%,591.24,0,1206.8325,0,916.755,0
,max,22500,3000,15497.19,54.16,14686.1,109.38
CASH_ADVANCE,count,1897,2085,1716,751,1362,1139
,mean,27.0042630911966,1996.41711442398,130.586633300117,1818.63831089747,1984.07017735683,223.838516348551
,std,486.981534828894,2504.78726209217,1114.10217252462,2227.86260922806,2762.41553789643,1302.13285491144
,min,0,0,0,18.204577,18.807602,0
,25%,0,371.667107,0,362.297824,450.41665275,0
,50%,0,1195.791823,0,1069.450087,1124.8732995,0
,75%,0,2704.302935,0,2435.5206815,2536.85066875,0
,max,16323.64243,26194.04954,27296.48576,19513.47483,47137.21176,20277.33112
PURCHASES_FREQUENCY,count,1897,2085,1716,751,1362,1139
,mean,0.702317102266737,0.003357916546763,0.822047428321678,0.280953639147803,0.754777028634361,0.350926010535557
,std,0.30631251675892,0.036873293231912,0.228911601452165,0.254021342097038,0.264292240828825,0.309195595914025
,min,0.083333,0,0.083333,0.083333,0.083333,0.083333
